timestamp,date_GMT,status,attendance,home_team_name,away_team_name,referee,Game Week,Pre-Match PPG (Home),Pre-Match PPG (Away),home_ppg,away_ppg,home_team_goal_count,away_team_goal_count,total_goal_count,total_goals_at_half_time,home_team_goal_count_half_time,away_team_goal_count_half_time,home_team_goal_timings,away_team_goal_timings,home_team_corner_count,away_team_corner_count,home_team_yellow_cards,home_team_red_cards,away_team_yellow_cards,away_team_red_cards,home_team_first_half_cards,home_team_second_half_cards,away_team_first_half_cards,away_team_second_half_cards,home_team_shots,away_team_shots,home_team_shots_on_target,away_team_shots_on_target,home_team_shots_off_target,away_team_shots_off_target,home_team_fouls,away_team_fouls,home_team_possession,away_team_possession,Home Team Pre-Match xG,Away Team Pre-Match xG,team_a_xg,team_b_xg,average_goals_per_match_pre_match,btts_percentage_pre_match,over_15_percentage_pre_match,over_25_percentage_pre_match,over_35_percentage_pre_match,over_45_percentage_pre_match,over_15_HT_FHG_percentage_pre_match,over_05_HT_FHG_percentage_pre_match,over_15_2HG_percentage_pre_match,over_05_2HG_percentage_pre_match,average_corners_per_match_pre_match,average_cards_per_match_pre_match,odds_ft_home_team_win,odds_ft_draw,odds_ft_away_team_win,odds_ft_over15,odds_ft_over25,odds_ft_over35,odds_ft_over45,odds_btts_yes,odds_btts_no,stadium_name
1690567200,Jul 28 2023 - 6:00pm,complete,N/A,MTK,Paksi SE,Adam Farkas,1,0.00,0.00,1.47,1.35,1,1,2,0,0,0,"49","65",6,6,3,0,3,0,2,1,1,2,15,9,7,2,8,7,14,13,50,50,0.00,0.00,1.85,1.23,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.52,3.70,2.20,1.13,1.50,2.15,3.82,1.53,2.38,Hidegkuti Nándor Stadion (Budapest)
1690646400,Jul 29 2023 - 4:00pm,complete,N/A,Diósgyőr,Puskás,Balazs Berke,1,0.00,0.00,1.71,1.76,0,1,1,1,0,1,"","8",6,6,3,0,4,0,0,3,1,3,6,5,2,3,4,2,9,16,50,50,0.00,0.00,1.04,0.84,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.78,3.40,2.14,1.25,1.73,3.00,5.00,1.62,2.20,Diósgyőri Stadion (Miskolc)
1690654500,Jul 29 2023 - 6:15pm,complete,N/A,Újpest,Videoton,Ferenc Karakó,1,0.00,0.00,1.35,1.18,2,1,3,2,2,0,"12,42","47",1,3,4,1,2,0,3,2,0,2,9,9,5,3,4,6,14,13,50,50,0.00,0.00,1.28,1.44,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.30,3.30,2.63,1.28,1.85,3.10,5.50,1.67,2.10,Szusza Ferenc Stadion (Budapest)
1690740000,Jul 30 2023 - 6:00pm,complete,N/A,Zalaegerszegi TE,Várda SE,Sandor Ando-Szabo,1,0.00,0.00,1.25,0.53,0,2,2,2,0,2,"","7,15",6,3,3,0,2,0,0,3,1,1,16,6,7,4,9,2,13,12,50,50,0.00,0.00,2.27,0.99,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,3.05,3.35,2.20,1.27,1.88,3.20,6.00,1.73,2.06,ZTE-Aréna (Zalaegerszeg)
1690826400,Jul 31 2023 - 6:00pm,complete,N/A,Debrecen,Mezőkövesd-Zsóry,N/A,1,0.00,0.00,2.00,0.65,3,1,4,2,1,1,"33,54,90'2","27",8,3,1,0,2,0,0,1,2,0,4,2,4,2,0,0,11,14,50,50,0.00,0.00,1.03,0.47,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.90,3.40,3.35,1.25,1.90,2.90,5.00,1.67,2.10,Nagyerdei Stadion (Debrecen)
1691172000,Aug 04 2023 - 6:00pm,complete,N/A,Puskás,Újpest,Csaba Pinter,2,0.00,0.00,1.56,0.88,3,3,6,4,3,1,"20,37,40","32,46,63",6,2,3,0,1,0,0,3,0,1,5,4,5,4,0,0,12,10,47,53,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.05,3.40,3.40,1.24,1.80,2.86,5.30,1.69,2.11,Puskás Akadémia Pancho Aréna (Felcsút)
1691250300,Aug 05 2023 - 3:45pm,complete,N/A,Mezőkövesd-Zsóry,Diósgyőr,Istvan Vad II,2,0.00,0.00,0.63,1.00,2,4,6,2,0,2,"48,76","4,35,68,88",4,6,7,1,1,0,2,6,0,1,17,11,7,7,10,4,2,1,50,50,0.00,0.00,1.80,1.42,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.78,3.55,4.35,1.29,1.88,3.20,6.00,1.77,2.00,Városi Stadion (Mezőkövesd)
1691336700,Aug 06 2023 - 3:45pm,complete,N/A,Videoton,Ferencváros,Tamás Bognár,2,0.00,0.00,2.13,2.31,3,5,8,3,1,2,"44,53,57","13,30,63,66,71",4,3,2,0,1,0,0,2,0,1,4,6,4,6,0,0,12,14,50,50,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,3.65,3.40,1.97,1.22,1.70,2.72,4.92,1.63,2.22,MOL Aréna Sóstó (Székesfehérvár)
1691344800,Aug 06 2023 - 6:00pm,complete,N/A,Zalaegerszegi TE,MTK,Bence Csonka,2,0.00,0.00,1.25,1.19,2,1,3,3,2,1,"3,45'4","32",0,5,1,0,3,0,1,0,0,3,9,17,6,5,3,12,13,14,50,50,2.27,0.00,1.18,1.94,1.00,0,50,0,0,0,50,50,0,0,6.00,3.00,2.13,3.45,2.98,1.28,1.83,3.15,5.95,1.70,2.05,ZTE-Aréna (Zalaegerszeg)
1691431200,Aug 07 2023 - 6:00pm,complete,N/A,Kecskeméti TE,Várda SE,N/A,2,0.00,3.00,1.94,0.53,3,1,4,3,2,1,"35,39,90'3","45",3,6,4,0,2,0,1,3,2,0,10,7,8,4,2,3,24,25,50,50,0.00,0.99,1.47,0.96,1.00,0,50,0,0,0,50,50,0,0,3.00,2.00,2.10,3.20,3.05,1.25,1.80,2.97,5.55,1.67,2.10,Széktói Stadion (Kecskemét)
1691776800,Aug 11 2023 - 6:00pm,complete,N/A,MTK,Várda SE,N/A,3,1.00,1.50,1.47,0.53,0,0,0,0,0,0,"","",3,3,0,0,0,0,0,0,0,0,2,4,2,3,0,1,11,12,50,50,1.85,0.98,0.36,0.56,2.50,75,100,25,25,0,50,50,50,75,10.50,5.00,2.70,3.35,2.42,1.30,1.99,3.32,6.30,1.76,2.00,Hidegkuti Nándor Stadion (Budapest)
1691856000,Aug 12 2023 - 4:00pm,complete,N/A,Újpest,Mezőkövesd-Zsóry,Balazs Berke,3,3.00,0.00,1.35,0.65,1,1,2,0,0,0,"88","90'2",7,1,0,0,2,0,0,0,0,2,18,5,4,3,14,2,7,7,50,50,1.28,0.47,1.76,0.79,3.50,100,100,100,50,0,100,100,50,100,4.00,8.00,1.60,3.85,4.30,1.26,1.89,3.08,5.70,1.79,1.96,Szusza Ferenc Stadion (Budapest)
1691864100,Aug 12 2023 - 6:15pm,complete,N/A,Diósgyőr,Paksi SE,Tamás Bognár,3,0.00,1.00,1.71,1.35,1,1,2,2,1,1,"15","28",12,5,1,0,1,1,0,1,0,2,15,13,5,6,10,7,16,17,50,50,1.04,1.23,1.64,1.62,1.50,50,50,0,0,0,0,50,50,50,12.00,6.00,2.30,3.60,2.70,1.21,1.62,2.85,5.50,1.54,2.40,Diósgyőri Stadion (Miskolc)
