timestamp,date_GMT,status,attendance,home_team_name,away_team_name,referee,Game Week,Pre-Match PPG (Home),Pre-Match PPG (Away),home_ppg,away_ppg,home_team_goal_count,away_team_goal_count,total_goal_count,total_goals_at_half_time,home_team_goal_count_half_time,away_team_goal_count_half_time,home_team_goal_timings,away_team_goal_timings,home_team_corner_count,away_team_corner_count,home_team_yellow_cards,home_team_red_cards,away_team_yellow_cards,away_team_red_cards,home_team_first_half_cards,home_team_second_half_cards,away_team_first_half_cards,away_team_second_half_cards,home_team_shots,away_team_shots,home_team_shots_on_target,away_team_shots_on_target,home_team_shots_off_target,away_team_shots_off_target,home_team_fouls,away_team_fouls,home_team_possession,away_team_possession,Home Team Pre-Match xG,Away Team Pre-Match xG,team_a_xg,team_b_xg,average_goals_per_match_pre_match,btts_percentage_pre_match,over_15_percentage_pre_match,over_25_percentage_pre_match,over_35_percentage_pre_match,over_45_percentage_pre_match,over_15_HT_FHG_percentage_pre_match,over_05_HT_FHG_percentage_pre_match,over_15_2HG_percentage_pre_match,over_05_2HG_percentage_pre_match,average_corners_per_match_pre_match,average_cards_per_match_pre_match,odds_ft_home_team_win,odds_ft_draw,odds_ft_away_team_win,odds_ft_over15,odds_ft_over25,odds_ft_over35,odds_ft_over45,odds_btts_yes,odds_btts_no,stadium_name
1657900800,Jul 15 2022 - 4:00pm,complete,N/A,Raków Częstochowa,Warta Poznań,Jarosław Przybył,1,0.00,0.00,2.59,1.35,1,0,1,0,0,0,"79","",3,3,1,0,1,0,0,1,0,1,10,9,7,2,3,5,13,16,49,51,0.00,0.00,1.60,1.08,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.44,3.80,6.50,1.30,1.91,3.50,6.00,2.10,1.67,Miejski Stadion Piłkarski Raków (Częstochowa)
1657909800,Jul 15 2022 - 6:30pm,complete,9890,Zagłębie Lubin,Śląsk Wrocław,Paweł Raczkowski,1,0.00,0.00,1.00,0.82,0,0,0,0,0,0,"","",1,7,1,0,3,0,0,1,1,2,12,17,4,6,7,8,17,10,51,49,0.00,0.00,1.50,1.80,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.35,3.10,2.70,1.28,1.83,3.20,5.50,1.70,2.05,Stadion Zagłębia Lubin (Lubin)
1657976400,Jul 16 2022 - 1:00pm,complete,12421,Lech Poznań,Stal Mielec,Damian Kos,1,0.00,0.00,1.71,1.06,0,2,2,1,0,1,"","14,64",8,2,1,0,1,0,1,0,1,0,26,9,7,5,12,4,13,12,63,37,0.00,0.00,2.32,1.15,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.30,5.20,8.40,1.20,1.62,2.65,4.50,2.10,1.67,Stadion Poznań (Poznań)
1657985400,Jul 16 2022 - 3:30pm,complete,N/A,Jagiellonia Białystok,Piast Gliwice,Daniel Stefanski,1,0.00,0.00,1.65,1.65,2,0,2,1,1,0,"29,90'4","",4,4,4,0,3,0,0,4,1,2,11,13,4,4,5,7,16,10,47,53,0.00,0.00,1.19,1.47,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.75,3.30,2.50,1.33,2.00,3.60,6.00,1.75,2.00,Stadion Miejski (Białystok)
1657994400,Jul 16 2022 - 6:00pm,complete,14515,Korona Kielce,Legia Warszawa,Tomasz Musial,1,0.00,0.00,1.59,1.47,1,1,2,0,0,0,"82","72",3,3,2,0,3,1,1,1,2,2,9,9,3,6,6,3,19,18,40,60,0.00,0.00,0.96,1.23,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,3.50,3.30,2.10,1.33,1.90,3.60,6.00,1.80,1.95,Suzuki Arena (Kielce)
1658053800,Jul 17 2022 - 10:30am,complete,4120,Radomiak Radom,Miedź Legnica,Krzysztof Jakubik,1,0.00,0.00,1.12,0.41,1,1,2,0,0,0,"80","53",7,2,1,0,4,1,0,1,2,3,35,7,3,5,21,1,9,17,64,36,0.00,0.00,2.38,1.01,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.23,3.20,3.20,1.33,2.05,3.60,6.50,1.91,1.91,Stadion Lekkoatletyczno-Piłkarski im. Marszałka Józefa Piłsudskiego   (Radom)
1658062800,Jul 17 2022 - 1:00pm,complete,N/A,Wisła Płock,Lechia Gdańsk,Piotr Lasyk,1,0.00,0.00,1.65,0.82,3,0,3,1,1,0,"43,76,90'1","",7,6,1,0,3,0,0,1,1,2,29,13,9,5,13,5,11,10,57,43,0.00,0.00,2.47,1.39,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.85,3.20,2.43,1.30,1.90,3.40,6.00,1.70,2.05,Stadion im. Kazimierza Górskiego (Płock)
1658071800,Jul 17 2022 - 3:30pm,complete,9339,Pogoń Szczecin,Widzew Łódź,Damian Sylwestrzak,1,0.00,0.00,2.00,1.35,2,1,3,2,1,1,"45,71","19",3,7,1,0,2,0,0,1,1,1,18,18,9,7,7,9,15,11,53,47,0.00,0.00,2.16,1.89,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.59,3.98,5.47,1.25,1.87,3.20,5.50,1.95,1.80,Stadion Miejski im. Floriana Krygiera (Szczecin)
1658163600,Jul 18 2022 - 5:00pm,complete,16748,Górnik Zabrze,Cracovia Kraków,Łukasz Kuźma,1,0.00,0.00,1.35,1.00,0,2,2,2,0,2,"","24,41",12,3,3,0,0,0,2,1,0,0,15,14,5,6,6,6,10,13,71,29,0.00,0.00,1.80,1.52,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.30,3.30,3.00,1.33,1.98,3.50,6.50,1.80,1.95,Stadion im. Ernesta Pohla (Zabrze)
1658505600,Jul 22 2022 - 4:00pm,complete,N/A,Warta Poznań,Wisła Płock,Paweł Malec,2,0.00,0.00,1.29,0.53,0,4,4,3,0,3,"","14,21,44,47",7,5,2,0,1,0,1,1,1,0,13,23,3,10,6,8,5,2,41,59,0.00,0.00,1.16,2.25,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.16,3.25,3.30,1.41,2.06,4.13,8.40,1.90,1.80,Stadion Groclinu Dyskobolii (Grodzisk Wielkopolski)
1658514600,Jul 22 2022 - 6:30pm,complete,N/A,Jagiellonia Białystok,Widzew Łódź,Piotr Urban,2,3.00,0.00,1.65,1.35,0,2,2,0,0,0,"","72,84",8,1,1,0,2,0,1,0,0,2,24,10,7,5,11,4,16,19,59,41,1.19,1.89,2.24,1.17,2.50,50,100,50,0,0,50,100,0,100,11.00,6.00,2.04,3.65,3.15,1.28,1.96,3.10,5.75,1.77,1.95,Stadion Miejski (Białystok)
